State,Human to Cattle Ratio 
Alabama,0.26
Alaska,0.01
Arizona,0.14
Arkansas,0.56
California,0.14
Colorado,0.47
Connecticut,0.01
Delaware,0.02
Florida,0.08
Georgia,0.1
Hawaii,0.09
Idaho,1.36
Illinois,0.09
Indiana,0.13
Iowa,1.2
Kansas,2
Kentucky,0.48
Louisiana,0.17
Maine,0.06
Maryland,0.03
Massachusetts,0.01
Michigan,0.11
Minnesota,0.42
Mississippi,0.31
Missouri,0.63
Montana,2.51
Nebraska,3.29
Nevada,0.16
New Hampshire,0.02
New Jersey,0
New Mexico,0.62
New York,0.07
North Carolina,0.08
North Dakota,2.45
Ohio,0.11
Oklahoma,1.12
Oregon,0.33
Pennsylvania,0.13
Rhode Island,0
South Carolina,0.08
South Dakota,4.32
Tennessee,0.27
Texas,0.41
Utah,0.28
Vermont,0.41
Virginia,0.19
Washington,0.16
West Virginia,0.2
Wisconsin,0.58
Wyoming,2.18
